season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min
1,Main,Nocturne,7,25.0,3,4,3,2,2,50.0,3.25,2.75,7.25,3.82,159.5,3.51,12.0,264.0
1,Main,Irelia,7,25.0,3,4,2,1,3,25.0,5.5,3.25,6.0,3.54,262.25,5.69,14.1,306.0
1,Main,Zilean,7,25.0,5,2,2,1,1,50.0,5.0,1.5,8.0,8.67,208.5,5.01,12.4,299.0
1,Main,Akali,7,25.0,6,1,1,1,0,100.0,7.0,4.0,7.0,3.5,168.0,4.54,11.1,300.0
1,Main,Singed,6,21.4,2,4,2,2,2,50.0,3.5,2.25,8.75,5.44,251.25,6.15,13.2,322.0
1,Main,Swain,5,17.9,0,5,4,2,3,40.0,2.4,3.0,4.8,2.4,186.2,5.29,9.3,266.0
1,Main,Caitlyn,4,14.3,0,4,3,0,4,0.0,0.5,3.75,1.25,0.47,220.75,6.96,8.3,261.0
1,Main,Cho'Gath,3,10.7,0,3,3,1,2,33.3,1.33,1.67,2.33,2.2,209.33,6.27,9.6,289.0
1,Main,Tristana,3,10.7,0,3,2,1,2,33.3,5.67,4.33,0.67,1.46,221.67,6.52,10.9,320.0
1,Main,Trundle,3,10.7,0,3,3,0,3,0.0,0.67,3.33,2.0,0.8,81.0,2.76,5.7,194.0
1,Main,Mordekaiser,3,10.7,2,1,1,1,0,100.0,3.0,0.0,9.0,12.0,324.0,8.6,14.3,379.0
1,Main,Lee Sin,2,7.1,0,2,2,1,1,50.0,3.0,5.0,4.0,1.4,197.0,5.47,10.1,279.0
1,Main,Teemo,2,7.1,0,2,1,1,1,50.0,9.0,3.0,6.5,5.17,273.5,5.9,16.9,363.0
1,Main,Gangplank,1,3.6,0,1,1,1,0,100.0,3.0,0.0,10.0,13.0,120.0,4.15,9.1,315.0
1,Main,Sion,1,3.6,0,1,1,1,0,100.0,2.0,0.0,6.0,8.0,253.0,7.54,11.9,355.0
1,Main,Blitzcrank,1,3.6,0,1,1,0,1,0.0,8.0,4.0,17.0,6.25,253.0,4.71,15.3,285.0
1,Main,Dr. Mundo,1,3.6,0,1,1,0,1,0.0,0.0,3.0,1.0,0.33,167.0,5.35,6.6,211.0
1,Main,Garen,1,3.6,0,1,1,0,1,0.0,5.0,5.0,3.0,1.6,110.0,3.71,7.6,256.0
1,Main,Kassadin,1,3.6,0,1,1,0,1,0.0,3.0,3.0,0.0,1.0,166.0,5.6,7.4,250.0
1,Main,Lux,1,3.6,0,1,1,0,1,0.0,1.0,3.0,1.0,0.67,98.0,3.39,5.6,194.0
1,Main,Poppy,1,3.6,0,1,1,0,1,0.0,0.0,2.0,4.0,2.0,82.0,2.84,5.8,201.0
1,Main,Rammus,1,3.6,0,1,1,0,1,0.0,1.0,4.0,5.0,1.5,100.0,2.44,8.8,215.0
1,Main,Urgot,1,3.6,0,1,1,0,1,0.0,2.0,3.0,2.0,1.33,140.0,4.84,6.5,225.0
2,Main,Ezreal,28,90.3,4,24,10,11,13,45.8,4.17,2.42,6.67,4.48,269.63,7.63,12.2,346.0
2,Main,Jayce,26,83.9,14,12,7,7,5,58.3,2.67,2.83,6.08,3.09,218.17,6.26,10.6,305.0
2,Main,Shen,24,77.4,6,18,9,7,11,38.9,2.78,2.56,5.94,3.41,181.56,5.37,10.1,299.0
2,Main,Sona,23,74.2,7,16,7,12,4,75.0,1.31,2.13,11.69,6.12,23.88,0.67,8.8,247.0
2,Main,Orianna,22,71.0,13,9,5,8,1,88.9,4.0,1.0,6.89,10.89,281.44,8.84,12.1,381.0
2,Main,Karthus,21,67.7,5,16,6,7,9,43.8,4.25,2.88,5.56,3.41,283.31,8.14,12.2,349.0
2,Main,Maokai,21,67.7,6,15,6,9,6,60.0,1.73,2.13,9.53,5.28,103.87,2.96,9.5,271.0
2,Main,Skarner,21,67.7,12,9,5,7,2,77.8,1.56,2.44,6.89,3.45,115.89,3.31,9.4,268.0
2,Main,Anivia,19,61.3,12,7,3,4,3,57.1,3.71,1.57,6.43,6.45,308.86,8.55,12.8,355.0
2,Main,Alistar,19,61.3,14,5,3,2,3,40.0,0.6,4.0,6.6,1.8,26.6,0.8,6.8,204.0
2,Main,Irelia,17,54.8,9,8,6,4,4,50.0,2.5,3.25,4.5,2.15,232.38,7.15,10.4,321.0
2,Main,Blitzcrank,17,54.8,12,5,5,3,2,60.0,1.0,3.0,8.6,3.2,17.4,0.46,8.5,224.0
2,Main,Kog'Maw,14,45.2,4,10,3,6,4,60.0,3.4,2.2,5.3,3.95,232.6,7.03,10.6,321.0
2,Main,Vladimir,14,45.2,5,9,5,5,4,55.6,4.0,3.0,5.44,3.15,275.67,7.65,12.3,341.0
2,Main,Evelynn,14,45.2,12,2,1,2,0,100.0,7.0,2.0,9.0,8.0,209.5,6.53,12.1,376.0
2,Main,Nunu,13,41.9,2,11,6,5,6,45.5,0.73,2.55,5.82,2.57,20.64,0.63,6.8,210.0
2,Main,Yorick,11,35.5,5,6,3,2,4,33.3,2.33,2.67,4.67,2.63,209.33,6.24,9.5,282.0
2,Main,Corki,10,32.3,0,10,7,5,5,50.0,3.9,3.1,6.1,3.23,245.4,6.92,11.6,326.0
2,Main,Jax,10,32.3,5,5,3,3,2,60.0,3.2,2.8,5.8,3.21,199.2,6.07,10.2,310.0
2,Main,Dr. Mundo,7,22.6,0,7,2,5,2,71.4,0.71,1.71,6.0,3.92,123.71,3.8,8.4,258.0
2,Main,Graves,7,22.6,0,7,4,3,4,42.9,3.14,3.29,4.71,2.39,265.71,7.57,11.5,327.0
2,Main,Leona,7,22.6,0,7,5,2,5,28.6,1.14,4.43,8.29,2.13,18.0,0.53,7.2,211.0
2,Main,Olaf,7,22.6,2,5,4,2,3,40.0,4.6,3.8,7.4,3.16,179.6,4.89,11.3,308.0
2,Main,Lee Sin,7,22.6,4,3,2,3,0,100.0,4.33,3.0,14.33,6.22,124.67,3.59,10.0,287.0
2,Main,Nidalee,7,22.6,4,3,2,3,0,100.0,2.67,1.33,6.67,7.0,281.67,8.39,12.9,383.0
2,Main,Twisted Fate,7,22.6,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Main,Taric,6,19.4,0,6,5,2,4,33.3,0.33,2.83,7.17,2.65,13.17,0.38,7.0,202.0
2,Main,Lulu,6,19.4,0,6,4,1,5,16.7,0.83,3.83,4.33,1.35,29.83,0.89,6.8,203.0
2,Main,Lux,6,19.4,1,5,4,2,3,40.0,1.6,1.4,5.0,4.71,179.4,5.35,10.0,299.0
2,Main,Shyvana,6,19.4,1,5,5,0,5,0.0,0.8,3.6,4.2,1.39,141.2,3.79,8.1,217.0
2,Main,Malphite,6,19.4,2,4,3,2,2,50.0,1.25,2.25,6.5,3.44,156.25,4.89,8.8,276.0
2,Main,Diana,6,19.4,3,3,2,1,2,33.3,3.0,3.33,4.67,2.3,208.33,5.88,10.2,288.0
2,Main,Udyr,5,16.1,0,5,4,0,5,0.0,0.6,3.8,2.2,0.74,128.4,4.06,7.4,233.0
2,Main,Morgana,5,16.1,1,4,3,1,3,25.0,3.25,2.25,3.5,3.0,251.5,7.22,10.5,302.0
2,Main,Vayne,4,12.9,0,4,2,3,1,75.0,7.25,2.75,6.5,5.0,230.0,7.47,11.7,381.0
2,Main,Zyra,4,12.9,0,4,2,2,2,50.0,0.0,2.75,9.5,3.45,42.5,1.2,7.8,220.0
2,Main,Cassiopeia,4,12.9,0,4,2,1,3,25.0,4.75,2.75,2.75,2.73,204.75,6.9,9.4,317.0
2,Main,Gragas,4,12.9,2,2,2,0,2,0.0,1.0,1.5,2.5,2.33,306.0,7.75,11.2,283.0
2,Main,Katarina,4,12.9,3,1,1,0,1,0.0,1.0,5.0,2.0,0.6,169.0,6.17,7.1,259.0
2,Main,Miss Fortune,3,9.7,0,3,1,2,1,66.7,3.33,3.0,5.33,2.89,235.33,6.92,11.6,341.0
2,Main,Caitlyn,3,9.7,0,3,3,1,2,33.3,2.67,1.33,2.33,3.75,297.67,8.97,11.7,352.0
2,Main,Ryze,3,9.7,0,3,2,1,2,33.3,2.0,3.67,4.33,1.73,172.67,6.44,7.6,284.0
2,Main,Cho'Gath,3,9.7,1,2,2,1,1,50.0,1.5,2.0,3.5,2.5,125.5,3.24,9.2,236.0
2,Main,Sivir,3,9.7,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Main,Singed,2,6.5,0,2,1,2,0,100.0,3.5,1.0,6.5,10.0,287.0,8.17,13.2,376.0
2,Main,Xin Zhao,2,6.5,0,2,2,2,0,100.0,2.0,2.5,15.5,7.0,136.0,4.24,9.6,299.0
2,Main,Zilean,2,6.5,0,2,1,1,1,50.0,3.5,3.5,8.0,3.29,212.0,7.3,9.3,319.0
2,Main,Darius,2,6.5,0,2,2,0,2,0.0,2.5,4.0,2.5,1.25,188.0,5.05,8.8,238.0
2,Main,Nocturne,2,6.5,0,2,2,0,2,0.0,2.5,5.5,9.0,2.09,224.5,4.65,12.9,267.0
2,Main,Ahri,2,6.5,1,1,1,1,0,100.0,6.0,0.0,3.0,9.0,184.0,6.13,11.4,380.0
2,Main,Draven,2,6.5,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Main,Amumu,1,3.2,0,1,1,1,0,100.0,4.0,6.0,16.0,3.33,145.0,3.47,12.4,297.0
2,Main,Soraka,1,3.2,0,1,1,1,0,100.0,1.0,0.0,11.0,12.0,12.0,0.34,8.3,232.0
2,Main,Jarvan IV,1,3.2,0,1,1,0,1,0.0,6.0,3.0,14.0,6.67,297.0,7.16,14.0,337.0
2,Main,Riven,1,3.2,0,1,1,0,1,0.0,2.0,6.0,1.0,0.5,242.0,5.97,10.2,251.0
2,Main,Swain,1,3.2,0,1,1,0,1,0.0,8.0,5.0,10.0,3.6,243.0,5.86,13.2,318.0
2,Main,Tristana,1,3.2,0,1,1,0,1,0.0,0.0,5.0,0.0,0.0,200.0,7.01,7.0,245.0
2,Main,Gangplank,1,3.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Main,Twitch,1,3.2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Main,Zed,63,100.0,52,11,9,6,5,54.5,5.73,3.82,5.36,2.9,230.27,7.33,11.5,365.0
3,Main,Shen,61,96.8,35,26,13,15,11,57.7,2.88,2.27,10.12,5.73,201.92,6.08,10.9,329.0
3,Main,Corki,59,93.7,26,33,12,16,17,48.5,4.58,2.55,5.06,3.79,249.79,7.73,11.8,364.0
3,Main,Ahri,52,82.5,26,26,10,12,14,46.2,4.42,3.0,5.12,3.18,251.81,7.8,11.6,360.0
3,Main,Zyra,48,76.2,6,42,12,23,19,54.8,1.31,2.86,7.45,3.07,33.05,1.03,7.0,218.0
3,Main,Elise,48,76.2,11,37,16,16,21,43.2,2.22,2.95,6.38,2.92,113.08,3.45,8.4,257.0
3,Main,Sona,44,69.8,8,36,12,13,23,36.1,0.83,4.31,8.03,2.06,25.0,0.77,6.7,207.0
3,Main,Orianna,41,65.1,20,21,10,12,9,57.1,3.14,2.71,6.48,3.54,261.1,8.93,11.0,378.0
3,Main,Lee Sin,40,63.5,14,26,10,16,10,61.5,2.62,2.15,8.0,4.93,95.5,3.0,8.4,265.0
3,Main,Thresh,40,63.5,22,18,9,9,9,50.0,1.33,3.72,8.78,2.72,21.72,0.69,6.7,214.0
3,Main,Aatrox,36,57.1,16,20,8,12,8,60.0,2.35,2.45,5.9,3.37,140.75,4.67,8.6,286.0
3,Main,Fizz,34,54.0,22,12,9,6,6,50.0,6.25,3.67,5.08,3.09,245.67,6.97,12.6,356.0
3,Main,Renekton,32,50.8,11,21,8,14,7,66.7,2.48,1.95,5.52,4.1,228.86,7.14,10.7,333.0
3,Main,Caitlyn,32,50.8,12,20,9,12,8,60.0,4.8,1.9,5.3,5.32,267.8,8.16,12.4,378.0
3,Main,Vi,30,47.6,17,13,5,7,6,53.8,2.46,2.77,6.46,3.22,114.62,3.62,8.6,271.0
3,Main,Jarvan IV,26,41.3,1,25,11,11,14,44.0,1.68,3.4,8.84,3.09,96.6,3.04,8.0,251.0
3,Main,Ezreal,22,34.9,0,22,12,11,11,50.0,5.27,2.45,5.27,4.3,237.86,7.77,11.6,378.0
3,Main,Vayne,22,34.9,6,16,7,8,8,50.0,4.0,2.63,5.19,3.5,216.75,7.1,10.7,350.0
3,Main,Kassadin,19,30.2,12,7,5,5,2,71.4,7.57,2.14,7.43,7.0,233.14,6.99,12.6,376.0
3,Main,Gragas,18,28.6,2,16,9,7,9,43.8,2.69,1.75,3.69,3.64,287.06,8.62,11.8,354.0
3,Main,Zac,17,27.0,2,15,6,7,8,46.7,2.07,2.2,6.2,3.76,190.53,6.35,9.2,307.0
3,Main,Varus,15,23.8,0,15,8,6,9,40.0,5.07,3.33,7.0,3.62,238.0,6.85,12.0,345.0
3,Main,Kennen,15,23.8,9,6,5,2,4,33.3,0.83,4.67,4.83,1.21,191.5,5.87,9.0,277.0
3,Main,Jax,14,22.2,4,10,4,7,3,70.0,3.9,2.6,4.1,3.08,204.8,6.53,10.9,349.0
3,Main,Annie,12,19.0,7,5,4,3,2,60.0,1.6,5.6,9.0,1.89,25.2,0.75,7.4,220.0
3,Main,Leona,11,17.5,1,10,4,7,3,70.0,1.1,3.2,10.5,3.63,29.1,0.88,7.3,221.0
3,Main,Twisted Fate,11,17.5,5,6,4,2,4,33.3,2.0,3.17,4.83,2.16,271.67,8.02,12.9,381.0
3,Main,Evelynn,11,17.5,7,4,2,3,1,75.0,5.75,3.25,10.5,5.0,136.25,3.9,10.6,302.0
3,Main,Rumble,10,15.9,2,8,5,2,6,25.0,2.5,5.0,8.63,2.23,193.25,5.27,9.8,268.0
3,Main,Lissandra,10,15.9,4,6,5,3,3,50.0,2.83,3.0,5.17,2.67,231.67,8.1,9.9,346.0
3,Main,Kog'Maw,8,12.7,1,7,3,5,2,71.4,4.0,1.43,5.71,6.8,248.57,7.69,11.8,364.0
3,Main,Fiddlesticks,8,12.7,2,6,5,4,2,66.7,1.33,4.0,11.5,3.21,24.17,0.82,7.2,245.0
3,Main,Twitch,8,12.7,5,3,2,1,2,33.3,5.0,3.0,6.0,3.67,254.0,7.43,12.6,368.0
3,Main,Ashe,7,11.1,1,6,3,3,3,50.0,3.67,2.83,8.0,4.12,195.5,6.42,10.7,351.0
3,Main,Nocturne,7,11.1,2,5,3,1,4,20.0,1.8,3.0,4.4,2.07,150.4,4.88,8.5,277.0
3,Main,Vladimir,6,9.5,0,6,5,2,4,33.3,2.0,4.5,3.17,1.15,224.83,7.38,9.8,323.0
3,Main,Singed,6,9.5,1,5,3,3,2,60.0,1.6,2.0,7.2,4.4,234.8,7.14,10.8,329.0
3,Main,Lulu,5,7.9,0,5,4,1,4,20.0,0.0,3.6,3.4,0.94,15.8,0.53,5.2,173.0
3,Main,Ryze,5,7.9,0,5,2,1,4,20.0,3.4,4.4,3.8,1.64,218.8,7.33,9.7,324.0
3,Main,Karthus,5,7.9,2,3,3,1,2,33.3,5.33,5.0,5.33,2.13,276.67,7.92,12.4,355.0
3,Main,Nasus,4,6.3,0,4,3,2,2,50.0,1.5,3.5,5.5,2.0,183.75,6.15,9.1,305.0
3,Main,Nidalee,3,4.8,0,3,3,2,1,66.7,2.33,1.67,2.67,3.0,250.67,7.41,11.7,345.0
3,Main,Diana,3,4.8,0,3,3,1,2,33.3,3.33,3.33,4.67,2.4,249.0,7.85,10.9,345.0
3,Main,Nunu,3,4.8,0,3,2,1,2,33.3,1.67,3.67,9.67,3.09,85.33,2.27,9.6,256.0
3,Main,Tristana,3,4.8,0,3,3,1,2,33.3,3.33,2.33,2.67,2.57,264.33,7.6,11.7,337.0
3,Main,Malphite,3,4.8,0,3,3,0,3,0.0,1.67,2.67,3.67,2.0,177.0,5.91,7.8,260.0
3,Main,Yorick,3,4.8,1,2,2,1,1,50.0,1.0,2.0,4.5,2.75,190.5,5.58,9.9,290.0
3,Main,Riven,2,3.2,0,2,1,2,0,100.0,3.5,3.0,7.0,3.5,241.0,7.57,11.9,374.0
3,Main,Nami,2,3.2,0,2,1,1,1,50.0,0.0,2.0,10.5,5.25,27.5,0.75,7.0,191.0
3,Main,Syndra,2,3.2,0,2,1,1,1,50.0,9.0,3.5,7.5,4.71,271.0,9.12,13.0,438.0
3,Main,Shyvana,2,3.2,0,2,2,0,2,0.0,0.5,4.5,1.5,0.44,225.5,6.87,9.2,280.0
3,Main,Blitzcrank,1,1.6,0,1,1,1,0,100.0,4.0,2.0,12.0,8.0,14.0,0.47,8.7,290.0
3,Main,Cassiopeia,1,1.6,0,1,1,1,0,100.0,6.0,0.0,3.0,9.0,319.0,8.65,15.7,426.0
3,Main,Jayce,1,1.6,0,1,1,1,0,100.0,6.0,2.0,11.0,8.5,237.0,8.2,13.3,460.0
3,Main,Kayle,1,1.6,0,1,1,1,0,100.0,7.0,10.0,13.0,2.0,307.0,6.15,18.4,369.0
3,Main,Sivir,1,1.6,0,1,1,1,0,100.0,7.0,2.0,19.0,13.0,172.0,5.73,12.4,413.0
3,Main,Tryndamere,1,1.6,0,1,1,1,0,100.0,5.0,2.0,5.0,5.0,264.0,7.67,14.0,407.0
3,Main,Veigar,1,1.6,0,1,1,1,0,100.0,1.0,1.0,4.0,5.0,25.0,0.68,8.8,239.0
3,Main,Volibear,1,1.6,0,1,1,1,0,100.0,8.0,3.0,14.0,7.33,96.0,2.67,11.7,326.0
3,Main,Dr. Mundo,1,1.6,0,1,1,0,1,0.0,1.0,7.0,1.0,0.29,99.0,4.14,5.3,221.0
3,Main,Hecarim,1,1.6,0,1,1,0,1,0.0,8.0,2.0,7.0,7.5,173.0,5.03,11.3,328.0
3,Main,Karma,1,1.6,0,1,1,0,1,0.0,3.0,7.0,3.0,0.86,85.0,3.55,6.2,259.0
3,Main,Miss Fortune,1,1.6,0,1,1,0,1,0.0,1.0,3.0,2.0,1.0,214.0,6.58,9.2,283.0
3,Main,Soraka,1,1.6,0,1,1,0,1,0.0,0.0,8.0,8.0,1.0,120.0,4.0,6.4,213.0
3,Main,Swain,1,1.6,0,1,1,0,1,0.0,2.0,5.0,4.0,1.2,263.0,7.55,10.7,307.0
3,Main,Teemo,1,1.6,0,1,1,0,1,0.0,3.0,6.0,8.0,1.83,164.0,4.77,9.3,270.0
3,Main,Xin Zhao,1,1.6,0,1,1,0,1,0.0,1.0,6.0,1.0,0.33,94.0,2.89,7.0,215.0
3,Main,Zilean,1,1.6,0,1,1,0,1,0.0,5.0,7.0,4.0,1.29,96.0,3.2,8.2,273.0
3,Main,Ziggs,1,1.6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
