,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min
123,3,Main,GamingGear_2e-eu,Inspirro,8,1,7,12.5,0.63,5.13,4.25,0.95,20.5,0.69,5.5,186.0
124,3,Main,GamingGear_2e-eu,Mazzerin,8,1,7,12.5,1.75,3.0,2.38,1.38,218.25,7.36,8.9,300.0
125,3,Main,GamingGear_2e-eu,Nbs,8,1,7,12.5,1.13,3.88,1.38,0.65,185.38,6.25,8.0,269.0
126,3,Main,Lemondogs,Dexter,8,3,5,37.5,3.5,2.63,4.88,3.19,119.25,3.47,8.8,258.0
127,3,Main,Lemondogs,Mithy,8,3,5,37.5,0.63,2.88,5.75,2.22,22.25,0.65,6.6,191.0
128,3,Main,Lemondogs,Nukeduck,8,3,5,37.5,3.88,2.88,3.88,2.7,259.5,7.55,11.8,342.0
129,3,Main,Lemondogs,Tabzz,8,3,5,37.5,2.63,1.88,4.75,3.93,271.38,7.9,11.7,341.0
130,3,Main,Lemondogs,Zorozero,8,3,5,37.5,2.25,2.25,6.0,3.67,219.63,6.39,10.5,306.0
131,3,Main,Mineski,Exo,8,0,8,0.0,2.75,4.63,3.63,1.38,182.25,6.64,8.2,299.0
132,3,Main,Mineski,Kaigu,8,0,8,0.0,1.63,4.5,4.88,1.44,108.88,3.97,6.7,243.0
133,3,Main,Mineski,Snoy,8,0,8,0.0,2.0,4.5,3.0,1.11,153.5,5.6,7.3,267.0
134,3,Main,Mineski,Tgee,8,0,8,0.0,0.63,5.75,5.63,1.09,16.63,0.61,4.8,177.0
135,3,Main,Mineski,Yume,8,0,8,0.0,1.88,4.88,3.25,1.05,187.5,6.83,7.9,287.0
136,3,Main,NaJin_Black_Sword,Cain,8,4,4,50.0,1.13,3.75,7.38,2.27,18.63,0.54,7.0,205.0
137,3,Main,NaJin_Black_Sword,Expession,8,4,4,50.0,3.25,2.13,4.5,3.65,244.13,7.12,11.6,340.0
138,3,Main,NaJin_Black_Sword,Nagne,8,4,4,50.0,3.88,1.63,4.13,4.92,265.38,7.74,12.1,353.0
139,3,Main,NaJin_Black_Sword,PraY,8,4,4,50.0,3.75,3.0,5.38,3.04,259.38,7.57,12.3,358.0
140,3,Main,NaJin_Black_Sword,Watch,8,4,4,50.0,1.75,2.25,7.5,4.11,94.63,2.76,8.7,253.0
141,3,Main,Oh_My_God,Cool,10,7,3,70.0,6.6,1.8,6.0,7.0,278.4,8.58,13.3,409.0
142,3,Main,Oh_My_God,Gogoing,10,7,3,70.0,3.0,2.3,8.8,5.13,221.2,6.82,11.4,351.0
143,3,Main,Oh_My_God,LoveLin,10,7,3,70.0,2.6,2.0,9.3,5.95,96.3,2.97,8.8,270.0
144,3,Main,Oh_My_God,San,10,7,3,70.0,5.5,1.6,6.2,7.31,255.6,7.88,12.7,392.0
145,3,Main,Oh_My_God,Bigpomelo,9,6,3,66.7,1.11,2.89,8.78,3.42,29.33,0.92,7.5,233.0
146,3,Main,Oh_My_God,comA,1,1,0,100.0,3.0,5.0,17.0,4.0,33.0,0.92,9.4,262.0
147,3,Main,Royal_Club,GoDlike,9,5,4,55.6,1.78,3.78,7.44,2.44,161.11,5.02,9.0,281.0
