,season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
281,5,Main,Caitlyn,5,6.8,0,5,3,3,2,60.0,2.4,1.6,3.6,3.75,332.8,8.71,14.7,386.0,57.7,23.1,23.7
282,5,Main,Hecarim,5,6.8,0,5,4,2,3,40.0,3.4,2.4,6.4,4.08,246.8,7.25,12.4,365.0,81.7,28.3,22.1
283,5,Main,Lissandra,4,5.5,0,4,4,2,2,50.0,2.75,3.75,9.75,3.33,272.25,8.14,12.6,375.0,73.5,16.2,22.0
284,5,Main,Evelynn,4,5.5,0,4,3,1,3,25.0,1.25,4.0,5.0,1.56,103.0,2.69,10.0,261.0,62.5,12.5,17.1
285,5,Main,Janna,3,4.1,0,3,3,2,1,66.7,0.0,2.0,13.33,6.67,17.33,0.43,9.6,237.0,81.6,0.0,14.1
286,5,Main,Ahri,3,4.1,0,3,3,1,2,33.3,3.0,1.0,8.0,11.0,357.0,9.08,15.3,389.0,86.8,23.7,23.7
287,5,Main,Skarner,3,4.1,0,3,3,1,2,33.3,0.67,1.67,4.67,3.2,96.67,3.02,8.9,279.0,69.6,8.7,17.2
288,5,Main,Maokai,3,4.1,0,3,2,0,3,0.0,0.67,3.33,2.33,0.9,157.33,5.22,7.7,257.0,69.2,15.4,18.5
289,5,Main,Zac,2,2.7,0,2,1,2,0,100.0,0.0,2.0,15.5,7.75,95.5,2.16,11.7,263.0,64.6,0.0,15.1
290,5,Main,Bard,2,2.7,0,2,2,0,2,0.0,1.5,5.0,7.0,1.7,30.5,0.86,8.0,224.0,60.7,10.7,14.4
291,5,Main,Irelia,2,2.7,0,2,2,0,2,0.0,2.5,4.5,1.5,0.89,228.0,6.65,10.3,299.0,61.5,38.5,22.1
292,5,Main,Rengar,2,2.7,0,2,2,0,2,0.0,2.0,3.0,4.0,2.0,95.5,3.15,8.7,285.0,70.6,23.5,18.9
293,5,Main,Zed,2,2.7,0,2,2,0,2,0.0,3.5,3.0,3.5,2.33,250.0,7.17,12.2,348.0,58.3,29.2,22.9
294,5,Main,Draven,1,1.4,0,1,1,1,0,100.0,5.0,1.0,7.0,12.0,241.0,7.17,14.6,435.0,57.1,23.8,23.0
295,5,Main,Graves,1,1.4,0,1,1,1,0,100.0,9.0,2.0,6.0,7.5,356.0,8.97,17.3,436.0,68.2,40.9,23.8
296,5,Main,Karthus,1,1.4,0,1,1,1,0,100.0,4.0,3.0,10.0,4.67,274.0,9.17,12.8,428.0,73.7,21.1,23.0
297,5,Main,Leona,1,1.4,0,1,1,1,0,100.0,0.0,3.0,7.0,2.33,60.0,2.42,7.0,283.0,43.8,0.0,14.6
298,5,Main,Lucian,1,1.4,0,1,1,1,0,100.0,7.0,4.0,11.0,4.5,295.0,8.03,15.3,417.0,81.8,31.8,22.3
299,5,Main,Vladimir,1,1.4,0,1,1,1,0,100.0,0.0,3.0,8.0,2.67,318.0,7.31,14.9,343.0,50.0,0.0,19.9
300,5,Main,Blitzcrank,1,1.4,0,1,1,0,1,0.0,1.0,5.0,2.0,0.6,16.0,0.55,5.8,198.0,75.0,25.0,14.5
301,5,Main,Brand,1,1.4,0,1,1,0,1,0.0,1.0,6.0,10.0,1.83,29.0,0.83,8.6,246.0,78.6,7.1,15.2
302,5,Main,Cassiopeia,1,1.4,0,1,1,0,1,0.0,1.0,1.0,4.0,5.0,341.0,8.61,13.2,333.0,50.0,10.0,21.9
303,5,Main,Jayce,1,1.4,0,1,1,0,1,0.0,1.0,2.0,7.0,4.0,359.0,9.33,14.7,382.0,50.0,6.3,22.4
304,5,Main,Nautilus,1,1.4,0,1,1,0,1,0.0,0.0,6.0,9.0,1.5,72.0,1.66,9.4,217.0,50.0,0.0,12.7
305,5,Main,Nunu,1,1.4,0,1,1,0,1,0.0,1.0,5.0,11.0,2.4,92.0,2.63,10.0,286.0,85.7,7.1,17.7
306,5,Main,Syndra,1,1.4,0,1,1,0,1,0.0,2.0,1.0,3.0,5.0,510.0,9.2,19.8,357.0,83.3,33.3,25.1
307,5,Main,Twitch,1,1.4,0,1,1,0,1,0.0,4.0,4.0,2.0,1.5,213.0,6.43,10.4,314.0,50.0,33.3,20.8
308,5,Main,Vi,1,1.4,0,1,1,0,1,0.0,0.0,6.0,1.0,0.17,128.0,2.94,10.6,244.0,10.0,0.0,16.0
309,6,Main,Nidalee,77,100.0,66,11,10,8,3,72.7,2.55,2.82,5.45,2.84,195.82,4.92,15.1,380.0,62.0,19.7,20.4
310,6,Main,Syndra,75,97.4,59,16,10,10,6,62.5,4.81,2.5,4.38,3.68,338.31,9.09,15.5,418.0,62.6,32.8,22.7
311,6,Main,Olaf,59,76.6,23,36,14,18,18,50.0,2.5,2.28,5.69,3.6,160.17,4.16,13.1,341.0,65.8,20.1,19.1
312,6,Main,Karma,58,75.3,16,42,16,19,23,45.2,0.57,2.52,6.88,2.95,62.07,1.62,10.3,267.0,68.2,5.2,15.2
313,6,Main,Jhin,51,66.2,12,39,13,24,15,61.5,3.87,1.9,5.95,5.18,324.64,8.25,15.7,398.0,66.7,26.3,21.7
314,6,Main,Elise,50,64.9,21,29,15,10,19,34.5,2.21,2.59,4.93,2.76,149.14,3.97,12.6,336.0,65.5,20.3,19.5
315,6,Main,Caitlyn,49,63.6,15,34,11,16,18,47.1,2.74,2.18,4.21,3.19,364.35,9.46,15.9,412.0,61.5,24.2,23.3
316,6,Main,Jayce,47,61.0,21,26,15,15,11,57.7,2.73,2.85,5.31,2.82,306.65,8.52,14.4,399.0,62.2,21.1,22.0
317,6,Main,Ryze,46,59.7,27,19,11,10,9,52.6,3.74,1.79,4.47,4.59,322.74,9.06,14.7,412.0,63.9,29.1,22.9
318,6,Main,Lee Sin,45,58.4,8,37,13,21,16,56.8,2.7,2.38,6.3,3.78,152.84,3.83,13.6,341.0,65.8,19.8,18.8
319,6,Main,Rumble,41,53.2,9,32,13,16,16,50.0,2.38,3.41,4.81,2.11,296.31,7.89,13.9,371.0,57.2,18.9,21.0
320,6,Main,Ezreal,39,50.6,7,32,12,11,21,34.4,3.81,2.22,3.66,3.37,330.75,8.6,15.2,394.0,67.7,34.6,22.9
321,6,Main,Poppy,38,49.4,9,29,11,14,15,48.3,1.66,2.1,4.66,3.0,309.31,7.45,14.7,354.0,56.3,14.8,20.2
322,6,Main,Kennen,37,48.1,14,23,12,12,11,52.2,2.78,3.39,4.65,2.19,296.57,7.64,14.4,370.0,56.4,21.1,20.6
323,6,Main,Rek'Sai,34,44.2,16,18,12,8,10,44.4,1.44,2.5,7.06,3.4,168.44,4.49,13.1,350.0,66.2,11.3,19.6
324,6,Main,Aurelion Sol,32,41.6,20,12,10,8,4,66.7,4.92,2.5,6.67,4.63,286.08,7.58,14.6,387.0,76.8,32.6,21.3
325,6,Main,Sivir,31,40.3,11,20,11,10,10,50.0,2.3,1.65,5.85,4.94,354.95,9.91,15.1,421.0,64.2,18.1,23.5
326,6,Main,Gnar,30,39.0,12,18,12,7,11,38.9,2.06,2.61,4.06,2.34,290.61,7.82,13.6,367.0,47.8,16.1,20.8
