,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
1126,11,Main,Royal_Never_Give_Up,Wei,12,7,5,58.3,4.42,3.42,7.92,3.61,165.58,4.83,11.8,344.0,13000.0,379.0,75.9,27.2,19.1
1127,11,Main,Royal_Never_Give_Up,Xiaohu,12,7,5,58.3,3.83,2.75,6.5,3.76,302.92,8.84,14.6,425.0,17700.0,516.0,63.6,23.6,23.6
1128,11,Main,T1,Canna,14,10,4,71.4,2.64,1.86,4.5,3.85,262.93,8.47,12.6,405.0,14600.0,470.0,61.0,22.6,22.1
1129,11,Main,T1,Faker,14,10,4,71.4,1.86,1.43,4.79,4.65,252.64,8.14,11.8,381.0,11200.0,360.0,56.7,15.9,20.8
1130,11,Main,T1,Gumayusi,14,10,4,71.4,3.5,1.0,3.71,7.21,316.57,10.2,14.1,455.0,14600.0,471.0,61.6,29.9,24.9
1131,11,Main,T1,Keria,14,10,4,71.4,0.57,1.21,8.57,7.53,27.07,0.87,7.7,248.0,3800.0,123.0,78.0,4.9,13.5
1132,11,Main,T1,Oner,14,10,4,71.4,3.14,1.71,5.14,4.83,173.64,5.6,10.6,342.0,9400.0,303.0,70.7,26.8,18.7
1133,11,Main,Team_Liquid,Alphari,7,3,4,42.9,2.71,2.43,3.14,2.41,287.86,8.61,13.3,397.0,13200.0,396.0,54.7,25.3,22.9
1134,11,Main,Team_Liquid,CoreJJ,7,3,4,42.9,0.86,3.57,6.71,2.12,37.43,1.12,7.5,224.0,3500.0,105.0,70.7,8.0,12.9
1135,11,Main,Team_Liquid,Jensen,7,3,4,42.9,3.43,2.14,4.71,3.8,283.57,8.49,13.5,404.0,16400.0,492.0,76.0,32.0,23.3
1136,11,Main,Team_Liquid,Santorin,7,3,4,42.9,1.71,2.14,7.57,4.33,160.71,4.81,10.3,307.0,8000.0,240.0,86.7,16.0,17.7
1137,11,Main,Team_Liquid,Tactical,7,3,4,42.9,2.0,2.43,3.43,2.24,311.0,9.31,13.4,400.0,15000.0,449.0,50.7,18.7,23.1
1138,12,Play in,Beyond_Gaming,Husha,5,2,3,40.0,3.0,2.6,8.4,4.38,157.0,4.92,10.4,325.0,9800.0,308.0,86.4,22.7,18.6
1139,12,Play in,Beyond_Gaming,Kino,5,2,3,40.0,0.2,5.0,9.0,1.84,36.2,1.13,7.1,222.0,3100.0,98.0,69.7,1.5,12.7
1140,12,Play in,Beyond_Gaming,Minji,5,2,3,40.0,6.0,2.8,4.8,3.86,236.0,7.4,12.6,396.0,14300.0,449.0,81.8,45.5,22.7
1141,12,Play in,Beyond_Gaming,Wako,5,2,3,40.0,2.6,2.0,6.4,4.5,302.4,9.48,13.7,428.0,19500.0,611.0,68.2,19.7,24.6
1142,12,Play in,Beyond_Gaming,Likai,4,1,3,25.0,1.0,2.25,4.75,2.56,275.25,8.23,12.2,365.0,12400.0,370.0,43.4,7.5,21.5
1143,12,Play in,Beyond_Gaming,Liang,1,1,0,100.0,3.0,1.0,5.0,8.0,216.0,8.4,10.4,404.0,8900.0,348.0,61.5,23.1,20.2
1144,12,Play in,Chiefs_Esports_Club,Aladoric,5,0,5,0.0,0.4,4.2,5.6,1.43,32.4,1.15,5.9,209.0,4000.0,142.0,68.2,4.5,12.9
1145,12,Play in,Chiefs_Esports_Club,Arthur,5,0,5,0.0,3.0,4.0,3.8,1.7,155.8,5.55,9.6,342.0,10700.0,381.0,77.3,34.1,21.1
1146,12,Play in,Chiefs_Esports_Club,Raes,5,0,5,0.0,2.0,4.0,3.6,1.4,238.4,8.49,10.4,369.0,12400.0,441.0,63.6,22.7,22.7
1147,12,Play in,Chiefs_Esports_Club,Tally,5,0,5,0.0,1.6,3.4,4.8,1.88,229.4,8.17,9.9,353.0,14200.0,506.0,72.7,18.2,21.8
1148,12,Play in,Chiefs_Esports_Club,Topoon,5,0,5,0.0,1.8,3.8,3.0,1.26,212.8,7.58,9.8,348.0,14600.0,519.0,54.5,20.5,21.4
1149,12,Play in,DetonatioN_FocusMe,Evi,14,7,7,50.0,2.21,3.71,5.64,2.12,243.43,7.44,12.0,367.0,18600.0,569.0,56.7,16.0,20.6
1150,12,Play in,DetonatioN_FocusMe,Harp,14,7,7,50.0,0.71,3.36,9.0,2.89,28.0,0.86,7.6,231.0,7700.0,236.0,70.1,5.2,13.0
1151,12,Play in,DetonatioN_FocusMe,Steal,14,7,7,50.0,1.93,3.43,8.29,2.98,151.79,4.64,9.9,303.0,10600.0,323.0,73.7,13.9,17.0
1152,12,Play in,DetonatioN_FocusMe,Yaharong,14,7,7,50.0,3.71,2.79,5.0,3.13,296.07,9.04,13.8,421.0,20700.0,631.0,62.9,26.8,23.6
1153,12,Play in,DetonatioN_FocusMe,Yutapon,14,7,7,50.0,5.29,2.71,4.5,3.61,318.71,9.74,15.1,460.0,19600.0,597.0,70.6,38.1,25.8
