,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
630,8,Play in,Kaos_Latin_Gamers,Slow,4,0,4,0.0,0.25,3.75,3.5,1.0,51.75,1.72,6.6,219.0,46.9,3.1,13.6
631,8,Play in,Kaos_Latin_Gamers,Tierwulf,4,0,4,0.0,1.5,4.5,4.5,1.33,155.75,5.16,9.1,303.0,75.0,18.8,18.8
632,8,Play in,Papara_SuperMassive,fabFabulous,9,4,5,44.4,1.56,1.67,4.78,3.8,241.78,7.4,11.1,340.0,60.0,14.7,19.7
633,8,Play in,Papara_SuperMassive,GBM,9,4,5,44.4,2.67,2.33,5.67,3.57,275.0,8.41,12.3,378.0,78.9,25.3,21.9
634,8,Play in,Papara_SuperMassive,SnowFlower,9,4,5,44.4,0.67,3.0,8.11,2.93,39.56,1.21,8.1,249.0,83.2,6.3,14.4
635,8,Play in,Papara_SuperMassive,Stomaged,9,4,5,44.4,1.33,2.56,6.44,3.04,174.11,5.33,10.5,322.0,73.7,12.6,18.6
636,8,Play in,Papara_SuperMassive,Zeitnot,9,4,5,44.4,4.33,2.0,4.0,4.17,340.56,10.42,14.4,439.0,78.9,41.1,25.4
637,8,Main,100_Thieves,AnDa,6,2,4,33.3,4.83,2.83,5.17,3.53,150.0,4.97,10.6,350.0,81.1,39.2,20.4
638,8,Main,100_Thieves,aphromoo,6,2,4,33.3,0.67,2.33,8.5,3.93,36.17,1.2,7.1,236.0,74.3,5.4,13.8
639,8,Main,100_Thieves,Rikara,6,2,4,33.3,3.0,3.0,5.33,2.78,273.83,9.08,12.0,398.0,67.6,24.3,23.3
640,8,Main,100_Thieves,Ryu,6,2,4,33.3,2.0,3.33,5.0,2.1,241.33,8.0,10.7,354.0,56.8,16.2,20.7
641,8,Main,100_Thieves,Ssumday,6,2,4,33.3,1.83,2.67,5.33,2.69,263.0,8.72,11.3,374.0,58.1,14.9,21.9
642,8,Main,Kwangdong_Freecs,Kiin,9,4,5,44.4,1.78,2.11,4.11,2.79,321.44,9.54,13.4,399.0,65.4,19.8,23.1
643,8,Main,Kwangdong_Freecs,Kramer,9,4,5,44.4,3.22,1.56,3.22,4.14,353.89,10.51,14.6,435.0,71.6,35.8,25.2
644,8,Main,Kwangdong_Freecs,Kuro,9,4,5,44.4,2.89,1.44,2.78,3.92,306.67,9.1,12.7,378.0,63.0,32.1,21.9
645,8,Main,Kwangdong_Freecs,TusiN,9,4,5,44.4,0.22,2.22,5.78,2.7,50.0,1.48,7.6,226.0,66.7,2.5,13.1
646,8,Main,Kwangdong_Freecs,Spirit,7,3,4,42.9,0.71,1.86,4.71,2.92,164.57,4.66,10.0,284.0,65.5,8.6,16.8
647,8,Main,Kwangdong_Freecs,Mowgli,2,1,1,50.0,1.5,1.5,5.0,4.33,128.0,4.56,8.8,312.0,56.5,13.0,16.5
648,8,Main,Cloud9,Jensen,13,7,6,53.8,3.46,2.54,5.38,3.48,297.15,9.14,13.0,401.0,73.2,28.7,22.6
649,8,Main,Cloud9,Licorice,13,7,6,53.8,2.23,2.62,4.69,2.65,267.31,8.22,11.8,364.0,57.3,18.5,20.6
